"1","49695"
"2","22243"
"3","12735"
"4","2756"
"5","12161"
"6","23899"
"7","12961"
"8","1415"
"9","3960"
"10","29005"
"11","18162"
"12","3845"
"13","1461"
"14","6022"
"15","2910"
"16","17394"
"17","20667"
"18","5203"
"19","20938"
"20","4084"
"21","24116"
"22","9928"
"23","4250"
"24","7971"
"25","21553"
"26","2755"
"27","1642"
"28","3154"
"29","8520"
"30","1281"
"31","9435"
"32","44980"
"33","65"
"34","32255"
"35","1493"
"36","20809"
"37","85"
"38","552"
"39","26254"
"40","886"
"41","4689"
"42","2467"
"43","2552"
"44","10697"
"45","8933"
"46","3205"
"47","43249"
"48","13046"
"49","236"
"50","47006"
"51","27"
"52","9320"
"53","150"
"54","956"
"55","939"
"56","70"
"57","2439"
"58","11549"
"59","191"
"60","6313"
"61","2281"
"62","19381"
"63","2334"
"64","2086"
"65","4864"
"66","2371"
"67","170"
"68","1238"
"69","4288"
"70","12712"
"71","1295"
"72","1230"
"73","2955"
"74","3514"
"75","558"
"76","3380"
"77","221"
"78","1226"
"79","5535"
"80","575"
"81","3209"
"82","2538"
"83","594"
"84","158"
"85","2714"
"86","4308"
"87","976"
"88","4864"
"89","3247"
"90","214"
"92","2303"
"93","1966"
"94","4030"
"95","22104"
"96","483"
"97","1963"
"98","81"
"99","726"
"100","4115"
"101","4298"
"102","1992"
"103","1133"
"104","17915"
"105","9620"
"106","134"
"107","6376"
"108","125"
"109","16"
"110","53769"
"111","24481"
"112","11890"
"113","1089"
"114","247"
"115","38"
"116","949"
"117","1264"
"118","1136"
"119","264"
"120","147"
"121","837"
"122","3888"
"123","2309"
"124","319"
"125","3518"
"126","1376"
"127","41"
"128","75"
"129","190"
"130","39"
"131","194"
"132","2123"
"133","19"
"134","36"
"135","6305"
"136","102"
"137","226"
"138","137"
"139","41"
"140","5073"
"141","22020"
"142","41"
"143","14"
"144","4505"
"145","11975"
"146","580"
"147","4118"
"148","357"
"149","1091"
"150","47777"
"151","12616"
"152","651"
"153","32867"
"154","3010"
"155","1276"
"156","1663"
"157","2596"
"158","12625"
"159","2366"
"160","14965"
"161","23628"
"162","5995"
"163","14321"
"164","4435"
"165","33940"
"166","650"
"167","79"
"168","12084"
"169","3358"
"170","7875"
"171","1427"
"172","12706"
"173","14993"
"174","2124"
"175","4801"
"176","2363"
"177","2314"
"178","500"
"179","1229"
"180","8400"
"181","2655"
"182","697"
"183","614"
"184","328"
"185","24618"
"186","11222"
"187","943"
"188","2498"
"189","336"
"190","960"
"191","1664"
"192","81"
"193","7464"
"194","5937"
"195","3242"
"196","13628"
"197","110"
"198","9143"
"199","1516"
"200","339"
"201","365"
"202","389"
"203","5429"
"204","8335"
"205","1355"
"206","1038"
"207","5414"
"208","27775"
"209","745"
"210","482"
"211","579"
"212","447"
"213","1872"
"214","942"
"215","5348"
"216","8547"
"217","1014"
"218","4248"
"219","633"
"220","275"
"222","5968"
"223","23695"
"224","8581"
"225","12662"
"226","43"
"227","4640"
"228","475"
"229","2428"
"230","7284"
"231","32085"
"232","6150"
"233","3478"
"234","3269"
"235","16419"
"236","12215"
"237","6422"
"238","834"
"239","3178"
"240","837"
"241","562"
"242","1076"
"243","439"
"244","285"
"245","255"
"246","10432"
"247","7681"
"248","3161"
"249","4950"
"250","892"
"251","388"
"252","10074"
"253","27568"
"254","629"
"255","1081"
"256","9890"
"257","3811"
"258","1710"
"259","1996"
"260","54502"
"261","10367"
"262","4217"
"263","395"
"264","159"
"265","11975"
"266","16171"
"267","3792"
"268","728"
"269","600"
"270","1315"
"271","1257"
"272","7871"
"273","7424"
"274","1181"
"275","1564"
"276","5459"
"277","9140"
"278","1157"
"279","936"
"280","5104"
"281","3936"
"282","11249"
"283","232"
"284","36"
"285","86"
"286","109"
"287","329"
"288","23610"
"289","3192"
"290","4042"
"291","656"
"292","26246"
"293","25804"
"294","851"
"295","469"
"296","67310"
"297","266"
"298","244"
"299","2626"
"300","20601"
"301","469"
"302","1564"
"303","6945"
"304","724"
"305","3429"
"306","7252"
"307","6676"
"308","5170"
"309","459"
"310","245"
"311","81"
"312","1325"
"313","1173"
"314","4124"
"315","11164"
"316","31799"
"317","16183"
"318","63366"
"319","7180"
"320","319"
"321","922"
"322","2986"
"324","469"
"325","1036"
"326","1333"
"327","7159"
"328","2427"
"329","26404"
"330","1536"
"331","559"
"332","2085"
"333","10962"
"334","1638"
"335","397"
"336","295"
"337","17881"
"338","4652"
"339","23214"
"340","1467"
"341","400"
"342","11690"
"343","934"
"344","38226"
"345","10312"
"346","1129"
"347","1542"
"348","8038"
"349","29571"
"350","15833"
"351","3667"
"352","1343"
"353","16524"
"354","1237"
"355","9939"
"356","66172"
"357","27699"
"358","2273"
"359","277"
"360","2101"
"361","4993"
"362","7629"
"363","643"
"364","38991"
"365","1825"
"366","2628"
"367","34384"
"368","17062"
"369","1120"
"370","14261"
"371","4313"
"372","8010"
"373","3527"
"374","4965"
"375","254"
"376","11294"
"377","41562"
"378","2342"
"379","5470"
"380","43159"
"381","4925"
"382","5419"
"383","5025"
"384","771"
"385","128"
"386","357"
"387","701"
"388","551"
"389","201"
"390","814"
"391","427"
"392","275"
"393","2041"
"394","132"
