movieId_ref,ML_nb_votes,ML_moy_votes,ML_std_votes,IMDB_nb_votes,IMDB_moy_votes
1.0,49695,3.921239561324077,0.8890115426590888,778961.0,8.3
2.0,22243,3.2119768016904193,0.9511499100702021,265409.0,6.9
3.0,12735,3.1510404397330194,1.0066421358551851,22263.0,6.6
4.0,2756,2.8613933236574747,1.095702254262233,8621.0,5.8
5.0,12161,3.064591727653976,0.9821395648427916,31020.0,6.0
6.0,23899,3.8349303318130468,0.8804679862206796,517857.0,8.2
7.0,12961,3.3664840675873777,0.9558825618986729,33679.0,6.3
8.0,1415,3.142049469964664,0.9663533490850581,8910.0,5.6
9.0,3960,3.0049242424242424,0.9602025204828841,29600.0,5.7
10.0,29005,3.430029305292191,0.8590349980943665,221233.0,7.2
11.0,18162,3.667712806959586,0.8958065644513368,47904.0,6.8
12.0,3845,2.6197659297789335,1.123326340822489,35373.0,5.8
13.0,1461,3.272416153319644,0.9803124924544104,35998.0,7.1
14.0,6022,3.432082364662903,0.9408447199740214,26821.0,7.1
15.0,2910,2.7219931271477664,1.0845317688933447,23918.0,5.6
16.0,17394,3.7874554444061173,0.8636811217619228,408805.0,8.2
17.0,20667,3.9685730875308463,0.9515846349870173,91026.0,7.7
18.0,5203,3.3736305977320775,1.029240146105941,89596.0,6.8
19.0,20938,2.6074123603018435,1.151478583348994,185742.0,6.4
20.0,4084,2.8807541625857005,0.9301370092798925,36098.0,5.6
21.0,24116,3.581688505556477,0.917260786227337,70487.0,6.9
22.0,9928,3.319399677679291,0.9210653616497828,49343.0,6.6
23.0,4250,3.1482352941176472,0.9495526395495744,72057.0,6.3
24.0,7971,3.199849454271735,1.0489368351974364,26889.0,6.6
25.0,21553,3.689509581032803,1.0344317744378146,105879.0,7.5
26.0,2755,3.628856624319419,0.9256601597957246,8481.0,6.9
27.0,1642,3.413520097442144,0.9376412682796001,24014.0,6.8
28.0,8520,,,61221.0,7.6
29.0,1281,3.952230046948357,0.9756428907409285,4769.0,7.2
30.0,9435,3.633879781420765,0.9773967406643035,44133.0,6.5
31.0,44980,3.250344462109168,0.9351274022718882,535435.0,8.0
32.0,65,3.8980546909737663,0.8671353884407066,571.0,6.5
33.0,32255,3.0076923076923077,1.0587887673403766,107922.0,6.8
34.0,1493,3.6430940939389242,1.0914968563999603,4807.0,6.9
35.0,20809,3.5016744809109177,0.9758291359379424,82185.0,7.5
36.0,85,3.9427170935652844,0.8909229447919701,223.0,6.4
37.0,552,3.0176470588235293,1.1787984672243734,18101.0,5.8
38.0,26254,2.857789855072464,1.2562630780518083,153994.0,6.8
39.0,886,3.413632208425383,0.9776462239907155,1601.0,6.9
40.0,4689,3.646726862302483,0.9911617949873642,12761.0,7.5
41.0,2467,3.8521006611217743,0.9258081296558425,17781.0,6.9
42.0,2552,3.0551276854479124,0.9423793966992434,8281.0,6.7
43.0,10697,3.4684561128526648,0.9310217696216689,92768.0,5.8
44.0,8933,2.653874918201365,1.122320705648638,39746.0,6.8
45.0,3205,3.3843613567670436,0.9635396009736515,9882.0,6.2
46.0,43249,3.2748829953198126,0.9718779973838106,1265633.0,8.6
47.0,13046,4.053492566302111,0.8702801319364786,149460.0,6.7
48.0,236,2.9461137513414073,1.0551891511325922,6107.0,6.6
49.0,47006,3.5847457627118646,1.0595163182817775,894277.0,8.6
50.0,9320,4.334372207803259,0.7567833836397756,35509.0,7.1
51.0,150,,,1930.0,7.6
52.0,939,3.541148068669528,0.9166620487905027,2651.0,6.5
53.0,70,3.6966666666666668,1.0457595208227841,288.0,5.0
54.0,2439,,,10672.0,6.6
55.0,11549,3.241214057507987,0.9931079212534425,30289.0,7.7
56.0,191,1.8714285714285714,1.1847023544912285,1470.0,7.5
57.0,6313,3.324518245182452,0.9481846151312789,23712.0,6.0
58.0,2281,3.978396397956533,0.9620599750940948,11957.0,6.2
59.0,19381,3.56020942408377,1.1240378145517607,33242.0,7.3
60.0,2334,3.114446380484714,0.9980226402475728,44197.0,6.6
61.0,2086,3.3231039017974573,0.9992041623508832,5052.0,5.2
62.0,4864,3.7318249832309993,0.9785472465037097,24209.0,4.4
63.0,2371,3.06662382176521,1.1889421210539428,8623.0,2.4
64.0,170,2.829817833173538,0.9942485276152232,3028.0,6.3
65.0,1238,2.3942228618421053,1.1980369561525077,4243.0,6.4
66.0,4288,2.144242935470266,1.1426095153947107,89801.0,7.3
67.0,12712,3.35,1.154935383320197,257421.0,7.2
68.0,1295,3.4369951534733443,0.9464590102165794,11281.0,4.2
69.0,1230,3.560634328358209,1.026955918824419,8849.0,6.9
70.0,2955,3.2774543738200124,1.0672980104705974,3437.0,7.5
71.0,3514,2.3552123552123554,1.0861650404316492,7475.0,6.1
72.0,558,3.502439024390244,1.0416441449734095,4192.0,4.6
73.0,3380,3.8067681895093064,1.0397750909432493,23111.0,6.4
74.0,221,3.3022196926579395,1.0072386298122573,622.0,7.3
75.0,1226,2.4623655913978495,1.1899562303699782,11927.0,6.3
76.0,5535,3.0090236686390535,1.0070004712654734,15701.0,5.6
77.0,575,3.429864253393665,1.0228367325673728,5902.0,7.8
78.0,3209,3.180668841761827,0.9172860820742605,24529.0,6.8
